idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['united_states', 'outbreak', 'h5n1', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'down'], ['world_health_organization', 'confirm', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'down']]",0.0,0.0,0.0,0.08479005131840403,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'cases', 'down'], ['world_health_organization', 'issue_guidance', 'vaccination', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['health_and_human_services', 'confirm', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'detect', 'h5n1', 'up'], ['world_health_organization', 'outbreak', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'h5n1', 'up'], ['world_health_organization', 'issue_guidance', 'influenza', 'ambiguous'], ['united_states', 'outbreak', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['health_and_human_services', 'report_release', 'hospitalizations', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['world_health_organization', 'issue_guidance', 'hospitalizations', 'down'], ['health_and_human_services', 'report_release', 'mortality', 'down']]",0.2,0.3333333333333333,0.25,0.2960819109658652,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'cases', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'down'], ['food_and_drug_administration', 'approve_authorize', 'influenza', 'down'], ['world_health_organization', 'issue_guidance', 'hospitalizations', 'down'], ['health_and_human_services', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'h5n1', 'up'], ['world_health_organization', 'report_release', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['united_states', 'outbreak', 'respiratory_syncytial_virus', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['world_health_organization', 'issue_guidance', 'influenza', 'down'], ['health_and_human_services', 'detect', 'hospitalizations', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'down'], ['united_states', 'outbreak', 'h1n1', 'up'], ['world_health_organization', 'report_release', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['health_and_human_services', 'confirm', 'hospitalizations', 'up']]",0.0,0.0,0.0,0.07550980911390262,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'cases', 'up'], ['world_health_organization', 'confirm', 'hospitalizations', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['health_and_human_services', 'detect', 'h1n1', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
