idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'production', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'forecast_raise', 'forecast', 'up'], ['eia', 'forecast_lower', 'production', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_raise', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'crude_oil', 'down'], ['united_states', 'export_ban_lift', 'crude_oil', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['opec_plus', 'production_cut', 'gasoline', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['united_states', 'release', 'inventory', 'down'], ['united_states', 'purchase', 'gasoline', 'up'], ['united_states', 'sanction_impose', 'crude_oil', 'up']]",0.0,0.0,0.0,0.24261427755816128,1.0,0.0
3,7,3,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['opec_plus', 'production_cut', 'production', 'up'], ['eia', 'report_release', 'forecast', 'down'], ['united_states', 'release', 'inventory', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'production', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['united_states', 'release', 'inventory', 'up'], ['eia', 'forecast_lower', 'demand', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'release', 'inventory', 'down'], ['united_states', 'sanction_impose', 'production', 'up'], ['united_states', 'export_ban_lift', 'crude_oil', 'down']]",0.2,0.25,0.22222222222222224,0.4879750624901271,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'production', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['eia', 'forecast_raise', 'forecast', 'up'], ['opec_plus', 'report_release', 'price', 'up']]",0.2,0.4,0.26666666666666666,0.404762744029787,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['eia', 'report_release', 'forecast', 'up'], ['opec_plus', 'extend_cut', 'production', 'down'], ['united_states', 'release', 'inventory', 'down'], ['united_states', 'export_ban_lift', 'export', 'up'], ['united_states', 'sanction_impose', 'production', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'production', 'up'], ['united_states', 'sanction_impose', 'production', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['united_states', 'release', 'inventory', 'down']]",0.2,0.1111111111111111,0.14285714285714285,0.3760488573690554,1.0,0.10428571428571429
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['opec_plus', 'report_release', 'production', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['united_states', 'export_ban_lift', 'gasoline', 'up'], ['united_states', 'release', 'gasoline', 'up'], ['market', 'forecast_lower', 'gasoline', 'down']]",0.0,0.0,0.0,0.23518264139297895,1.0,0.0
