idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'ambiguous'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h5n1', 'cases'], ['united_states', 'rate_change', 'hospitalizations', 'down']]",0.4,0.6,0.48,0.3292556979501705,1.0,0.29600000000000004
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['united_states', 'report_release', 'cases', 'down'], ['world_health_organization', 'conduct_study', 'h5n1', 'ambiguous'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['united_states', 'outbreak', 'respiratory_syncytial_virus', 'up'], ['world_health_organization', 'report_release', 'h5n1', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['world_health_organization', 'detect', 'h5n1', 'cases'], ['united_states', 'report_release', 'hospitalizations', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'ambiguous'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'cases', 'down'], ['united_states', 'rate_change', 'hospitalizations', 'down']]",0.2,0.3333333333333333,0.25,0.3122885095908974,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['united_states', 'detect', 'respiratory_syncytial_virus', 'cases'], ['world_health_organization', 'report_release', 'h5n1', 'outbreak']]",0.0,0.0,0.0,0.10699313236726378,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'ambiguous'], ['united_states', 'outbreak', 'h1n1', 'cases'], ['world_health_organization', 'detect', 'h5n1', 'ambiguous'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.2,0.4,0.26666666666666666,0.4121943801949693,1.0,0.16
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['centers_for_disease_control', 'detect', 'h1n1', 'up'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['united_states', 'outbreak', 'influenza', 'up']]",0.0,0.0,0.0,0.07550980911390262,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['united_states', 'report_release', 'cases', 'up'], ['world_health_organization', 'detect', 'h5n1', 'ambiguous']]",0.2,0.25,0.22222222222222224,0.3964172293648361,1.0,0.14
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'outbreak', 'h5n1', 'cases'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'report_release', 'hospitalizations', 'up']]",0.2,0.2,0.20000000000000004,0.344405276058795,1.0,0.13000000000000003
