idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'cases', 'ambiguous'], ['health_and_human_services', 'rate_change', 'hospitalizations', 'down'], ['national_institute_on_aging', 'conduct_study', 'respiratory_syncytial_virus', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous'], ['health_and_human_services', 'detect', 'respiratory_syncytial_virus', 'up'], ['national_institute_on_aging', 'conduct_study', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['united_states', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'report_release', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['world_health_organization', 'report_release', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['national_institute_on_aging', 'conduct_study', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['united_states', 'conduct_study', 'hospitalizations', 'down'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]",0.2,0.3333333333333333,0.25,0.16424755410796474,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['united_states', 'recommend_vaccination', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'down'], ['world_health_organization', 'detect', 'respiratory_syncytial_virus', 'up'], ['health_and_human_services', 'issue_guidance', 'cases', 'down']]",0.0,0.0,0.0,0.16958010263680806,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'up'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'detect', 'hospitalizations', 'up'], ['health_and_human_services', 'issue_guidance', 'cases', 'up']]",0.2,0.2,0.20000000000000004,0.38356636737133565,1.0,0.13000000000000003
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h5n1', 'ambiguous'], ['health_and_human_services', 'outbreak', 'cases', 'up'], ['national_institute_on_aging', 'conduct_study', 'hospitalizations', 'up']]",0.2,0.25,0.22222222222222224,0.27326603499447116,1.0,0.14
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h5n1', 'ambiguous'], ['health_and_human_services', 'rate_change', 'hospitalizations', 'up'], ['national_institute_on_aging', 'conduct_study', 'respiratory_syncytial_virus', 'up']]",0.2,0.25,0.22222222222222224,0.4744438181276604,1.0,0.14
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'down'], ['world_health_organization', 'detect', 'h5n1', 'ambiguous'], ['health_and_human_services', 'outbreak', 'hospitalizations', 'up'], ['national_institute_on_aging', 'conduct_study', 'respiratory_syncytial_virus', 'up']]",0.2,0.4,0.26666666666666666,0.3391602052736161,1.0,0.16
10,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'approve_authorize', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'deaths', 'up']]","[['united_states', 'recommend_vaccination', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'up'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h5n1', 'ambiguous'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'up']]",0.0,0.0,0.0,0.16958010263680806,1.0,0.0
11,4,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'up'], ['centers_for_disease_control', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h5n1', 'up'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'up'], ['national_institute_on_aging', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]",0.2,0.5,0.28571428571428575,0.3903800499921017,1.0,0.1685714285714286
12,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'down']]","[['united_states', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'down'], ['centers_for_disease_control', 'report_release', 'cases', 'down'], ['world_health_organization', 'approve_authorize', 'vaccination', 'ambiguous'], ['health_and_human_services', 'conduct_study', 'h1n1', 'down']]",0.0,0.0,0.0,0.24261427755816128,1.0,0.0
13,5,5,"[['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'cases', 'down'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'down'], ['national_institute_on_aging', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
