idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['centers_for_disease_control', 'confirm', 'hospitalizations', 'down'], ['centers_for_disease_control', 'detect', 'cases', 'down'], ['united_states', 'rate_change', 'influenza', 'down'], ['centers_for_disease_control', 'report_release', 'cases', 'down']]",0.2,0.4,0.26666666666666666,0.23741214369153127,1.0,0.16
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['centers_for_disease_control', 'confirm', 'cases', 'down'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'down'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['health_and_human_services', 'report_release', 'mortality', 'down']]",0.2,1.0,0.33333333333333337,0.42920303493582085,1.0,0.19000000000000003
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'confirm', 'hospitalizations', 'down'], ['centers_for_disease_control', 'confirm', 'cases', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'ambiguous']]",0.2,1.0,0.33333333333333337,0.42920303493582085,1.0,0.19000000000000003
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'up'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['world_health_organization', 'confirm', 'h1n1', 'up'], ['centers_for_disease_control', 'outbreak', 'influenza', 'up']]",0.0,0.0,0.0,0.4251724527673773,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'cases', 'down'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'down'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['centers_for_disease_control', 'detect', 'influenza', 'down'], ['health_and_human_services', 'report_release', 'cases', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'cases', 'down'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'down'], ['united_states', 'confirm', 'influenza', 'down'], ['centers_for_disease_control', 'detect', 'mortality', 'down'], ['world_health_organization', 'report_release', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'up'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['centers_for_disease_control', 'confirm', 'hospitalizations', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up']]",0.0,0.0,0.0,0.23518264139297895,1.0,0.0
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'confirm', 'hospitalizations', 'up'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'detect', 'h1n1', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'ambiguous']]",0.2,0.25,0.22222222222222224,0.3708610474924966,1.0,0.14
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'confirm', 'cases', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['centers_for_disease_control', 'detect', 'hospitalizations', 'up']]",0.2,0.25,0.22222222222222224,0.6731048216119281,1.0,0.14
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'outbreak', 'influenza', 'up'], ['centers_for_disease_control', 'detect', 'h1n1', 'up'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'up'], ['world_health_organization', 'issue_guidance', 'influenza', 'up']]",0.0,0.0,0.0,0.23518264139297895,1.0,0.0
