idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['world_health_organization', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['centers_for_disease_control', 'detect', 'influenza', 'up']]",0.0,0.0,0.0,0.2456298460447879,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'down'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['health_and_human_services', 'report_release', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'detect', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'confirm', 'influenza', 'up']]",0.2,1.0,0.33333333333333337,0.7907725230968498,1.0,0.19000000000000003
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'detect', 'influenza', 'ambiguous'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'rate_change', 'cases', 'down']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['health_and_human_services', 'report_release', 'influenza', 'down'], ['world_health_organization', 'detect', 'influenza', 'down']]",0.2,0.3333333333333333,0.25,0.4418967006874838,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'down'], ['united_states', 'recommend_vaccination', 'influenza', 'down'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccine', 'down'], ['health_and_human_services', 'conduct_study', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['world_health_organization', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['health_and_human_services', 'detect', 'influenza', 'up']]",0.2,0.2,0.20000000000000004,0.4830419897363191,1.0,0.13000000000000003
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['world_health_organization', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['health_and_human_services', 'rate_change', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.40240498750197456,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'detect', 'cases', 'up']]",0.0,0.0,0.0,0.123151194370365,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['world_health_organization', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'up']]",0.0,0.0,0.0,0.42696582507864683,1.0,0.0
