idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccine', 'down'], ['health_and_human_services', 'report_release', 'cases', 'down'], ['world_health_organization', 'detect', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'down'], ['united_states', 'conduct_study', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['world_health_organization', 'report_release', 'cases', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'down'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['health_and_human_services', 'report_release', 'cases', 'down'], ['world_health_organization', 'detect', 'h1n1', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'down'], ['world_health_organization', 'report_release', 'cases', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['health_and_human_services', 'conduct_study', 'respiratory_syncytial_virus', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'influenza', 'down'], ['health_and_human_services', 'report_release', 'cases', 'down'], ['national_institute_on_aging', 'conduct_study', 'mortality', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.4,0.6666666666666666,0.5,0.4555743629920763,1.0,0.30500000000000005
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'down'], ['united_states', 'conduct_study', 'influenza', 'down'], ['world_health_organization', 'report_release', 'cases', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'conduct_study', 'mortality', 'down']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'cases', 'up'], ['health_and_human_services', 'conduct_study', 'respiratory_syncytial_virus', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'cases', 'up'], ['health_and_human_services', 'conduct_study', 'respiratory_syncytial_virus', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['health_and_human_services', 'issue_guidance', 'respiratory_syncytial_virus', 'up'], ['world_health_organization', 'detect', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.2,0.4,0.26666666666666666,0.3391602052736161,1.0,0.16
10,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'approve_authorize', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'deaths', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'cases', 'up'], ['health_and_human_services', 'conduct_study', 'respiratory_syncytial_virus', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
