idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h1n1', 'up'], ['health_and_human_services', 'rate_change', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'influenza', 'up'], ['health_and_human_services', 'rate_change', 'hospitalizations', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'cases', 'down']]",0.0,0.0,0.0,0.1532867981913646,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'testing', 'up'], ['united_states', 'increase_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up']]",0.0,0.0,0.0,0.31202526000191894,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['united_states', 'report_release', 'hospitalizations', 'down'], ['world_health_organization', 'detect', 'h1n1', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'rate_change', 'mortality', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['world_health_organization', 'report_release', 'influenza', 'mortality'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'cases']]",0.2,0.3333333333333333,0.25,0.16424755410796474,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'up'], ['united_states', 'issue_guidance', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'report_release', 'vaccination', 'up'], ['health_and_human_services', 'conduct_study', 'flu_activity', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['respiratory_syncytial_virus', 'disease_resurgence', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['national_institute_on_aging', 'rate_change', 'hospitalizations', 'up']]",0.2,0.2,0.20000000000000004,0.3222021950099353,1.0,0.13000000000000003
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'mask_mandates', 'up'], ['world_health_organization', 'detect', 'h5n1', 'up'], ['food_and_drug_administration', 'approve_authorize', 'antiviral_treatment', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'antivirals', 'up'], ['health_and_human_services', 'report_release', 'public_health_campaign', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h5n1', 'up'], ['health_and_human_services', 'conduct_study', 'flu_trends', 'up']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['united_states', 'report_release', 'hospitalizations', 'up'], ['world_health_organization', 'detect', 'h5n1', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'rate_change', 'vaccination', 'down']]",0.0,0.0,0.0,0.16958010263680806,1.0,0.0
