idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'down'], ['health_and_human_services', 'issue_guidance', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['advisory_committee_on_immunization_practices', 'rate_change', 'vaccination', 'down'], ['world_health_organization', 'detect', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['health_and_human_services', 'report_release', 'cases', 'down'], ['world_health_organization', 'detect', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'down'], ['world_health_organization', 'detect', 'influenza', 'down']]",0.2,1.0,0.33333333333333337,0.2707969650641791,1.0,0.19000000000000003
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['health_and_human_services', 'recommend_vaccination', 'vaccination', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccine', 'down'], ['world_health_organization', 'detect', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.0,0.0,0.0,0.13203406128629544,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['centers_for_disease_control', 'detect', 'influenza', 'down'], ['health_and_human_services', 'report_release', 'cases', 'down']]",0.4,0.6666666666666666,0.5,0.4927426623238942,1.0,0.30500000000000005
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['world_health_organization', 'report_release', 'cases', 'down'], ['health_and_human_services', 'detect', 'respiratory_syncytial_virus', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'detect', 'cases', 'up'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'up'], ['health_and_human_services', 'report_release', 'cases', 'up']]",0.0,0.0,0.0,0.16958010263680806,1.0,0.0
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['world_health_organization', 'detect', 'h5n1', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['united_states', 'outbreak', 'influenza', 'up']]",0.2,0.25,0.22222222222222224,0.34877584410837376,1.0,0.14
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h5n1', 'up'], ['health_and_human_services', 'report_release', 'outbreak', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['world_health_organization', 'report_release', 'influenza', 'up'], ['united_states', 'outbreak', 'influenza', 'up'], ['health_and_human_services', 'confirm', 'influenza', 'up'], ['united_states', 'rate_change', 'vaccination', 'down']]",0.0,0.0,0.0,0.4343974612438291,1.0,0.0
