idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'forecast_raise', 'gasoline', 'up'], ['united_states', 'purchase', 'gasoline', 'up']]",0.0,0.0,0.0,0.13863671367752411,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'forecast', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'production_raise', 'gasoline', 'up'], ['opec_plus', 'forecast_lower', 'price', 'down'], ['united_states', 'export', 'diesel', 'up']]",0.0,0.0,0.0,0.15782422623975725,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['market', 'report_release', 'inventory', 'up'], ['eia', 'forecast_raise', 'crude_oil', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'price_change', 'gasoline', 'up']]",0.2,0.16666666666666666,0.1818181818181818,0.13120507751234178,1.0,0.12181818181818181
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'forecast_lower', 'price', 'up']]",0.2,0.14285714285714285,0.16666666666666666,0.14979038531416927,1.0,0.115
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['opec_plus', 'report_release', 'forecast', 'down'], ['united_states', 'sanction_impose', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'purchase', 'gasoline', 'up'], ['opec_plus', 'extend_cut', 'production', 'up']]",0.0,0.0,0.0,0.07303417492135322,1.0,0.0
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'forecast_lower', 'price', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.4,0.25,0.3076923076923077,0.6171634362332266,1.0,0.21846153846153848
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'forecast_raise', 'price', 'up'], ['united_states', 'purchase', 'diesel', 'up']]",0.2,0.4,0.26666666666666666,0.24261427755816128,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'crude_oil', 'up'], ['opec_plus', 'forecast_lower', 'price', 'down'], ['market', 'price_change', 'gasoline', 'up']]",0.4,0.3333333333333333,0.3636363636363636,0.5551553341043619,1.0,0.24363636363636362
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'forecast_raise', 'price', 'up'], ['eia', 'inventory', 'crude_oil', 'down']]",0.2,0.1111111111111111,0.14285714285714285,0.41743945098014823,1.0,0.10428571428571429
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['united_states', 'export', 'gasoline', 'up'], ['natural_gas', 'price', 'down', 'down']]",0.0,0.0,0.0,0.19178318368566782,1.0,0.0
10,7,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'crude_oil', 'down'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'production', 'up']]","[['market', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'crude_oil', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['united_states', 'forecast_lower', 'price', 'down'], ['market', 'sanction_impose', 'export', 'down']]",0.0,0.0,0.0,0.4343974612438291,1.0,0.0
11,7,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'gasoline', 'down'], ['united_states', 'price_change', 'natural_gas', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['sanction_impose', 'export', 'restriction', 'up'], ['natural_gas', 'price_change', 'diesel', 'up']]",0.2,0.14285714285714285,0.16666666666666666,0.16958010263680806,1.0,0.115
12,6,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'forecast_raise', 'production', 'up']]","[['market', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['eia', 'forecast_lower', 'natural_gas', 'down'], ['market', 'price_change', 'gasoline', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
13,9,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'natural_gas', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'up'], ['united_states', 'release', 'strategic_petroleum_reserve', 'down'], ['eia', 'forecast_lower', 'gasoline', 'down']]",0.2,0.1111111111111111,0.14285714285714285,0.344405276058795,1.0,0.10428571428571429
14,10,5,"[['eia', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'natural_gas', 'down'], ['market', 'price_change', 'price', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['united_states', 'export_ban_lift', 'diesel', 'up'], ['market', 'forecast_raise', 'gasoline', 'up']]",0.2,0.1,0.13333333333333333,0.404762744029787,1.0,0.1
