idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'release', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['opec_plus', 'forecast_raise', 'production', 'down']]",0.0,0.0,0.0,0.24261427755816128,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['united_states', 'release', 'strategic_reserve', 'up'], ['market', 'forecast_lower', 'demand', 'down']]",0.2,0.2222222222222222,0.2105263157894737,0.21398626473452756,1.0,0.13473684210526315
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'release', 'crude_oil', 'up'], ['opec_plus', 'forecast_lower', 'production', 'down']]",0.2,0.16666666666666666,0.1818181818181818,0.16958010263680806,1.0,0.12181818181818181
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['opec_plus', 'forecast_raise', 'crude_oil', 'up']]",0.4,0.2857142857142857,0.3333333333333333,0.36005461457723403,1.0,0.23
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'release', 'gasoline', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['opec_plus', 'forecast_lower', 'production', 'down']]",0.4,0.25,0.3076923076923077,0.40102416094282617,1.0,0.21846153846153848
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'release', 'inventory', 'up'], ['opec_plus', 'forecast_lower', 'production', 'down']]",0.2,0.25,0.22222222222222224,0.17241167211851097,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'sanction_impose', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['opec_plus', 'forecast_raise', 'production', 'down']]",0.2,0.4,0.26666666666666666,0.21398626473452756,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'release', 'gasoline', 'up'], ['market', 'forecast_raise', 'price', 'up'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.2,0.16666666666666666,0.1818181818181818,0.39523636993128847,1.0,0.12181818181818181
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'release', 'inventory', 'down'], ['opec_plus', 'forecast_raise', 'production', 'up']]",0.4,0.2222222222222222,0.2857142857142857,0.5817744828317774,1.0,0.20857142857142857
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['united_states', 'release', 'gasoline', 'up'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.0,0.0,0.0,0.19178318368566782,1.0,0.0
