idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['centers_for_disease_control', 'detect', 'h5n1', 'up'], ['health_and_human_services', 'report_release', 'vaccine', 'down'], ['world_health_organization', 'confirm', 'outbreak', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'down'], ['centers_for_disease_control', 'detect', 'outbreak', 'down'], ['health_and_human_services', 'conduct_study', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'down'], ['centers_for_disease_control', 'detect', 'h1n1', 'down'], ['united_states', 'conduct_study', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'detect', 'h1n1', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous']]",0.2,0.5,0.28571428571428575,0.21460151746791042,1.0,0.1685714285714286
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['centers_for_disease_control', 'recommend_vaccination', 'vaccine', 'down'], ['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['centers_for_disease_control', 'detect', 'h1n1', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.4,0.6666666666666666,0.5,0.2913268088841116,1.0,0.30500000000000005
5,5,4,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['centers_for_disease_control', 'confirm', 'vaccine', 'up'], ['world_health_organization', 'report_release', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'confirm', 'outbreak', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'up'], ['centers_for_disease_control', 'approve_authorize', 'vaccine', 'up']]",0.2,0.4,0.26666666666666666,0.4566005422926888,1.0,0.16
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['centers_for_disease_control', 'detect', 'outbreak', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.2,0.25,0.22222222222222224,0.31287930038583306,1.0,0.14
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['world_health_organization', 'confirm', 'outbreak', 'up'], ['health_and_human_services', 'approve_authorize', 'funding', 'up']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'outbreak', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['world_health_organization', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up']]",0.0,0.0,0.0,0.07303417492135322,1.0,0.0
