idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'down'], ['national_institute_on_aging', 'conduct_study', 'mortality', 'ambiguous']]",0.0,0.0,0.0,0.2765732350040718,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['health_and_human_services', 'report_release', 'hospitalizations', 'down'], ['national_institute_on_aging', 'conduct_study', 'influenza', 'ambiguous']]",0.0,0.0,0.0,0.11859885638464811,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['united_states', 'report_release', 'cases', 'down'], ['health_and_human_services', 'conduct_study', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'report_release', 'hospitalizations', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['national_institute_on_aging', 'conduct_study', 'mortality', 'ambiguous']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'report_release', 'hospitalizations', 'down'], ['national_institute_on_aging', 'conduct_study', 'mortality', 'ambiguous']]",0.2,0.3333333333333333,0.25,0.3122885095908974,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['united_states', 'report_release', 'cases', 'down'], ['health_and_human_services', 'conduct_study', 'hospitalizations', 'down']]",0.2,0.2,0.20000000000000004,0.344405276058795,1.0,0.13000000000000003
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'report_release', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['national_institute_on_aging', 'conduct_study', 'hospitalizations', 'up']]",0.2,0.2,0.20000000000000004,0.344405276058795,1.0,0.13000000000000003
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'detect', 'cases', 'up'], ['health_and_human_services', 'report_release', 'hospitalizations', 'up']]",0.0,0.0,0.0,0.31834121936641585,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'detect', 'cases', 'up'], ['health_and_human_services', 'report_release', 'hospitalizations', 'up']]",0.0,0.0,0.0,0.1986610034842676,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['united_states', 'detect', 'cases', 'up'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'up']]",0.2,0.4,0.26666666666666666,0.44615333764087994,1.0,0.16
10,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'approve_authorize', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'deaths', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'report_release', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['world_health_organization', 'detect', 'h1n1', 'up']]",0.2,0.2,0.20000000000000004,0.344405276058795,1.0,0.13000000000000003
11,4,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'up'], ['centers_for_disease_control', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['health_and_human_services', 'detect', 'cases', 'up'], ['national_institute_on_aging', 'conduct_study', 'hospitalizations', 'up']]",0.2,0.5,0.28571428571428575,0.5975950124980254,1.0,0.1685714285714286
12,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'down']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['united_states', 'report_release', 'hospitalizations', 'down'], ['centers_for_disease_control', 'detect', 'cases', 'up']]",0.0,0.0,0.0,0.2765732350040718,1.0,0.0
13,5,5,"[['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'up'], ['health_and_human_services', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['centers_for_disease_control', 'report_release', 'cases', 'down'], ['food_and_drug_administration', 'confirm', 'vaccine', 'up']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
