idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'down'], ['united_states', 'conduct_study', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'down'], ['united_states', 'detect', 'cases', 'down'], ['health_and_human_services', 'conduct_study', 'hospitalizations', 'down'], ['national_institute_on_aging', 'rate_change', 'mortality', 'down']]",0.2,1.0,0.33333333333333337,0.42920303493582085,1.0,0.19000000000000003
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['centers_for_disease_control', 'detect', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['united_states', 'rate_change', 'hospitalizations', 'down']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['united_states', 'report_release', 'hospitalizations', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'down']]",0.0,0.0,0.0,0.3065735963827292,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down'], ['centers_for_disease_control', 'detect', 'cases', 'down'], ['health_and_human_services', 'report_release', 'hospitalizations', 'down']]",0.2,0.3333333333333333,0.25,0.16424755410796474,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'down'], ['health_and_human_services', 'detect', 'influenza', 'down'], ['national_institute_on_aging', 'conduct_study', 'mortality', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'up'], ['united_states', 'outbreak', 'cases', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['national_institute_on_aging', 'conduct_study', 'hospitalizations', 'up']]",0.0,0.0,0.0,0.16958010263680806,1.0,0.0
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'detect', 'cases', 'up'], ['health_and_human_services', 'report_release', 'hospitalizations', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]",0.0,0.0,0.0,0.123151194370365,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['health_and_human_services', 'report_release', 'hospitalizations', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous'], ['united_states', 'detect', 'cases', 'up']]",0.0,0.0,0.0,0.29278503749407625,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'report_release', 'hospitalizations', 'up'], ['health_and_human_services', 'confirm', 'cases', 'up'], ['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up']]",0.2,0.2,0.20000000000000004,0.3684167892627111,1.0,0.13000000000000003
