idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['united_states', 'recommend_vaccination', 'influenza', 'down'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['health_and_human_services', 'conduct_study', 'influenza', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'down'], ['united_states', 'conduct_study', 'influenza', 'down'], ['world_health_organization', 'issue_guidance', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'down']]",0.2,1.0,0.33333333333333337,0.42920303493582085,1.0,0.19000000000000003
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up'], ['united_states', 'report_release', 'cases', 'down'], ['world_health_organization', 'conduct_study', 'influenza', 'ambiguous'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.0,0.0,0.0,0.3254604649035663,1.0,0.0
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'up'], ['united_states', 'report_release', 'influenza', 'down'], ['world_health_organization', 'conduct_study', 'h1n1', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['health_and_human_services', 'approve_authorize', 'respiratory_syncytial_virus', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['health_and_human_services', 'conduct_study', 'influenza', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up']]",0.2,0.3333333333333333,0.25,0.12707925477614684,1.0,0.15250000000000002
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'down'], ['united_states', 'recommend_vaccination', 'vaccination', 'up'], ['world_health_organization', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['health_and_human_services', 'conduct_study', 'influenza', 'down']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'conduct_study', 'vaccine', 'ambiguous'], ['world_health_organization', 'issue_guidance', 'h1n1', 'down'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up']]",0.2,0.4,0.26666666666666666,0.404762744029787,1.0,0.16
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['united_states', 'report_release', 'hospitalizations', 'up'], ['world_health_organization', 'confirm', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['health_and_human_services', 'conduct_study', 'cases', 'up']]",0.0,0.0,0.0,0.29278503749407625,1.0,0.0
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up'], ['world_health_organization', 'conduct_study', 'influenza', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['health_and_human_services', 'approve_authorize', 'vaccine', 'down']]",0.0,0.0,0.0,0.22074620686839042,1.0,0.0
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'conduct_study', 'influenza', 'ambiguous'], ['world_health_organization', 'issue_guidance', 'vaccine', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'influenza', 'up']]",0.2,0.4,0.26666666666666666,0.5117558763970509,1.0,0.16
10,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'approve_authorize', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'recommend_vaccination', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'deaths', 'up']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['united_states', 'report_release', 'hospitalizations', 'up'], ['world_health_organization', 'confirm', 'h1n1', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['health_and_human_services', 'conduct_study', 'influenza', 'up']]",0.2,0.2,0.20000000000000004,0.3030146824477022,1.0,0.13000000000000003
