idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,4,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['market', 'report_release', 'price', 'up'], ['opec_plus', 'report_release', 'production', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['market', 'forecast', 'price', 'up']]",0.0,0.0,0.0,0.24261427755816128,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['united_states', 'release', 'inventory', 'up'], ['opec_plus', 'extend_cut', 'crude_oil', 'ambiguous']]",0.0,0.0,0.0,0.08479005131840403,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['market', 'forecast_raise', 'demand', 'up'], ['united_states', 'report_release', 'inventory', 'up'], ['opec_plus', 'extend_cut', 'crude_oil', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['market', 'report_release', 'crude_oil', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'report_release', 'gasoline', 'up'], ['eia', 'forecast_lower', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'up']]",0.2,0.14285714285714285,0.16666666666666666,0.2345804366325733,1.0,0.115
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['market', 'forecast_raise', 'demand', 'up'], ['united_states', 'report_release', 'inventory', 'ambiguous'], ['opec_plus', 'forecast_lower', 'crude_oil', 'down']]",0.2,0.125,0.15384615384615385,0.2795888034906985,1.0,0.10923076923076924
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'forecast_lower', 'production', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['opec_plus', 'forecast_lower', 'price', 'down']]",0.2,0.25,0.22222222222222224,0.4658898591060043,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'crude_oil', 'up'], ['market', 'forecast_lower', 'inventory', 'down'], ['opec_plus', 'forecast_raise', 'price', 'up']]",0.2,0.4,0.26666666666666666,0.4777969189511402,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'export_ban_lift', 'crude_oil', 'ambiguous'], ['opec_plus', 'forecast_lower', 'crude_oil', 'down']]",0.4,0.3333333333333333,0.3636363636363636,0.5139853786956031,1.0,0.24363636363636362
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'up'], ['united_states', 'forecast_lower', 'demand', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'up']]",0.4,0.3333333333333333,0.3636363636363636,0.6813359790338589,1.0,0.24363636363636362
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'forecast_raise', 'production', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['united_states', 'release', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down']]",0.0,0.0,0.0,0.33041989736319194,1.0,0.0
10,7,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'crude_oil', 'down'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'production', 'up']]","[['market', 'report_release', 'inventory', 'down'], ['opec_plus', 'production', 'crude_oil', 'up'], ['united_states', 'forecast_lower', 'price', 'down'], ['opec_plus', 'extend_cut', 'false', 'UNK'], ['market', 'purchase', 'crude_oil', 'up']]",0.0,0.0,0.0,0.42696582507864683,1.0,0.0
11,7,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'gasoline', 'down'], ['united_states', 'price_change', 'natural_gas', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['market', 'report_release', 'inventory', 'down'], ['opec_plus', 'report_release', 'production', 'up'], ['united_states', 'report_release', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['opec_plus', 'action', 'production', 'up']]",0.0,0.0,0.0,0.15782422623975725,1.0,0.0
12,6,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'forecast_raise', 'production', 'up']]","[['market', 'report_release', 'price', 'down'], ['opec_plus', 'production', 'crude_oil', 'down'], ['united_states', 'production', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'down']]",0.0,0.0,0.0,0.24261427755816128,1.0,0.0
13,9,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'natural_gas', 'down'], ['market', 'price_change', 'price', 'up']]","[['market', 'report_release', 'price', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'report_release', 'inventory', 'down'], ['market', 'forecast_lower', 'price', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'up']]",0.0,0.0,0.0,0.415209948681596,1.0,0.0
14,10,5,"[['eia', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'natural_gas', 'down'], ['market', 'price_change', 'price', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['market', 'forecast_lower', 'production', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'up']]",0.2,0.1,0.13333333333333333,0.46604104255408946,1.0,0.1
15,4,5,"[['united_states', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'natural_gas', 'down'], ['market', 'price_change', 'price', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'forecast_lower', 'production', 'ambiguous'], ['market', 'price_change', 'crude_oil', 'up'], ['united_states', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
