idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'rate_change', 'hospitalizations', 'up'], ['united_states', 'report_release', 'influenza', 'ambiguous'], ['united_states', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['united_states', 'recommend_vaccination', 'vaccination', 'up'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'down'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['national_institute_on_aging', 'conduct_study', 'cases', 'down']]",0.2,0.4,0.26666666666666666,0.23741214369153127,1.0,0.16
1,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['united_states', 'report_release', 'cases', 'up'], ['health_and_human_services', 'recommend_vaccination', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['national_institute_on_aging', 'conduct_study', 'h5n1', 'up']]",0.0,0.0,0.0,0.3065735963827292,1.0,0.0
2,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['united_states', 'detect', 'cases', 'down'], ['health_and_human_services', 'issue_guidance', 'vaccine', 'up'], ['national_institute_on_aging', 'conduct_study', 'influenza', 'ambiguous']]",0.2,1.0,0.33333333333333337,0.547801891320469,1.0,0.19000000000000003
3,2,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'detect', 'cases', 'up'], ['health_and_human_services', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'ambiguous'], ['national_institute_on_aging', 'conduct_study', 'h1n1', 'ambiguous']]",0.2,0.5,0.28571428571428575,0.6131471927654584,1.0,0.1685714285714286
4,3,5,"[['centers_for_disease_control', 'recommend_vaccination', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['food_and_drug_administration', 'approve_authorize', 'vaccine', 'ambiguous']]","[['centers_for_disease_control', 'detect', 'influenza', 'up'], ['united_states', 'report_release', 'cases', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'up'], ['national_institute_on_aging', 'conduct_study', 'mortality', 'up']]",0.0,0.0,0.0,0.23463936301137822,1.0,0.0
5,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h1n1', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'h5n1', 'up'], ['food_and_drug_administration', 'report_release', 'influenza', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['united_states', 'detect', 'cases', 'down'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'down'], ['national_institute_on_aging', 'conduct_study', 'mortality', 'ambiguous']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
6,5,5,"[['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'issue_guidance', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'mortality', 'ambiguous'], ['world_health_organization', 'report_release', 'h5n1', 'ambiguous']]","[['centers_for_disease_control', 'issue_guidance', 'influenza', 'up'], ['united_states', 'detect', 'cases', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccination', 'up'], ['national_institute_on_aging', 'conduct_study', 'h1n1', 'ambiguous'], ['health_and_human_services', 'approve_authorize', 'vaccine', 'up']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
7,4,5,"[['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['health_and_human_services', 'report_release', 'influenza', 'up'], ['national_institute_on_aging', 'issue_guidance', 'vaccination', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['united_states', 'conduct_study', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'down'], ['national_institute_on_aging', 'detect', 'cases', 'down']]",0.2,0.25,0.22222222222222224,0.27326603499447116,1.0,0.14
8,4,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['advisory_committee_on_immunization_practices', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'hospitalizations', 'up'], ['centers_for_disease_control', 'report_release', 'influenza', 'up']]","[['centers_for_disease_control', 'report_release', 'influenza', 'down'], ['united_states', 'recommend_vaccination', 'vaccination', 'up'], ['health_and_human_services', 'issue_guidance', 'hospitalizations', 'down'], ['advisory_committee_on_immunization_practices', 'approve_authorize', 'vaccine', 'up'], ['national_institute_on_aging', 'conduct_study', 'cases', 'down']]",0.2,0.25,0.22222222222222224,0.27326603499447116,1.0,0.14
9,5,5,"[['centers_for_disease_control', 'issue_guidance', 'vaccination', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['centers_for_disease_control', 'conduct_study', 'influenza', 'ambiguous'], ['centers_for_disease_control', 'conduct_study', 'respiratory_syncytial_virus', 'ambiguous']]","[['centers_for_disease_control', 'report_release', 'influenza', 'up'], ['united_states', 'detect', 'cases', 'up'], ['health_and_human_services', 'issue_guidance', 'vaccination', 'up'], ['advisory_committee_on_immunization_practices', 'recommend_vaccination', 'vaccine', 'up'], ['national_institute_on_aging', 'conduct_study', 'h1n1', 'ambiguous']]",0.2,0.4,0.26666666666666666,0.3391602052736161,1.0,0.16
