idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'extend_cut', 'production', 'up'], ['united_states', 'sanction_impose', 'crude_oil', 'up'], ['market', 'purchase', 'gasoline', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up']]",0.0,0.0,0.0,0.42696582507864683,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'forecast_lower', 'demand', 'down'], ['opec_plus', 'production_raise', 'production', 'ambiguous'], ['united_states', 'release', 'inventory', 'down'], ['eia', 'forecast_lower', 'demand', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'production', 'up'], ['united_states', 'purchase', 'crude_oil', 'up'], ['market', 'forecast_raise', 'demand', 'up'], ['eia', 'report_release', 'inventory', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['opec_plus', 'extend_cut', 'production', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'forecast_raise', 'demand', 'up'], ['united_states', 'purchase', 'crude_oil', 'up'], ['united_states', 'release', 'inventory', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['united_states', 'release', 'inventory', 'ambiguous'], ['market', 'forecast_lower', 'demand', 'down'], ['opec_plus', 'production_raise', 'production', 'ambiguous'], ['eia', 'report_release', 'gasoline', 'up']]",0.0,0.0,0.0,0.06560253875617089,1.0,0.0
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'extend_cut', 'production', 'ambiguous'], ['united_states', 'purchase', 'crude_oil', 'up'], ['market', 'forecast_raise', 'demand', 'up'], ['eia', 'report_release', 'inventory', 'down']]",0.4,0.25,0.3076923076923077,0.4242856532222764,1.0,0.21846153846153848
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'extend_cut', 'production', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'purchase', 'crude_oil', 'up'], ['eia', 'forecast_raise', 'demand', 'up'], ['market', 'price_change', 'brent', 'up']]",0.2,0.4,0.26666666666666666,0.21398626473452756,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['opec_plus', 'extend_cut', 'production', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'purchase', 'crude_oil', 'up'], ['market', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up']]",0.4,0.16666666666666666,0.23529411764705882,0.4388196890662683,1.0,0.1858823529411765
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'production', 'ambiguous'], ['market', 'forecast_lower', 'demand', 'down'], ['united_states', 'release', 'inventory', 'down'], ['eia', 'report_release', 'forecast', 'down']]",0.4,0.2222222222222222,0.2857142857142857,0.5040379344536086,1.0,0.20857142857142857
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['united_states', 'release', 'inventory', 'down'], ['market', 'forecast_lower', 'demand', 'down'], ['opec_plus', 'production_raise', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'down']]",0.0,0.0,0.0,0.07303417492135322,1.0,0.0
